Sample	Accession	familyID	Subpopulation	Superpopulation	Production Year
HG03369	SAMN41021668		ESN	AFR	YR4
NA18565	SAMN41021669		CHB	EAS	YR4
NA20818	SAMN41021670		TSI	EUR	YR4
NA20809	SAMN41021671		TSI	EUR	YR4
NA21102	SAMN41021672		GIH	SAS	YR4
HG03457	SAMN41021673		MSL	AFR	YR4
HG01028	SAMN41021674		CDX	EAS	YR4
HG03778	SAMN41021675		ITU	SAS	YR4
HG00258	SAMN41021676		GBR	EUR	YR4
HG03136	SAMN41021677		ESN	AFR	YR4
HG00662	SAMN41021678		CHS	EAS	YR4
HG01167	SAMN41021679		PUR	AMR	YR4
NA19131	SAMN41021680		YRI	AFR	YR4
HG04153	SAMN41021681		BEB	SAS	YR4
NA19099	SAMN41021682		YRI	AFR	YR4
HG03343	SAMN41021683		ESN	AFR	YR4
HG01894	SAMN41021684		ACB	AFR	YR4
NA19834	SAMN41021685		ASW	AFR	YR4
HG03103	SAMN41021686		ESN	AFR	YR4
HG01048	SAMN41021687		PUR	AMR	YR4
NA19190	SAMN41021688		YRI	AFR	YR4
HG04225	SAMN41021689		ITU	SAS	YR4
NA19012	SAMN41021690		JPT	EAS	YR4
HG02624	SAMN41021691		GWD	AFR	YR4
HG03672	SAMN41021692		STU	SAS	YR4
HG03372	SAMN41021693		ESN	AFR	YR4
HG03108	SAMN41021694		ESN	AFR	YR4
NA19703	SAMN41021695		ASW	AFR	YR4
HG00106	SAMN41021696		GBR	EUR	YR4
HG00117	SAMN41021697		GBR	EUR	YR4
HG01798	SAMN41021698		CDX	EAS	YR4
HG03919	SAMN41021699		BEB	SAS	YR4
HG03388	SAMN41021700		MSL	AFR	YR4
NA19042	SAMN41021701		LWK	AFR	YR4
HG00701	SAMN41021702		CHS	EAS	YR4
HG03072	SAMN41021703		MSL	AFR	YR4
HG03445	SAMN41021704		MSL	AFR	YR4
