log	filename	manifest	status	throughput
s3_transfer_9723195_1022.log	NWM222c-1_S4_L002_R1_001.fastq.gz	./manifest_9723195_1022.csv	0	80.9MiB/s
s3_transfer_9723195_1023.log	NWM222c-1_S4_L002_R2_001.fastq.gz	./manifest_9723195_1023.csv	0	23.5MiB/s
s3_transfer_9723195_1024.log	NWM222c-1_S4_L003_R1_001.fastq.gz	./manifest_9723195_1024.csv	0	29.4MiB/s
s3_transfer_9723195_1025.log	NWM222c-1_S4_L003_R2_001.fastq.gz	./manifest_9723195_1025.csv	0	87.5MiB/s
s3_transfer_9723195_1026.log	NWM222c-1_S4_L004_R1_001.fastq.gz	./manifest_9723195_1026.csv	0	27.1MiB/s
s3_transfer_9723195_1027.log	NWM222c-1_S4_L004_R2_001.fastq.gz	./manifest_9723195_1027.csv	0	84.7MiB/s
s3_transfer_9723195_1028.log	NWM222c-2_S11_L001_R1_001.fastq.gz	./manifest_9723195_1028.csv	0	21.4MiB/s
s3_transfer_9723195_1029.log	NWM222c-2_S11_L001_R2_001.fastq.gz	./manifest_9723195_1029.csv	0	17.9MiB/s
s3_transfer_9723195_102.log	HG00408-1_S4_L002_R1_001.fastq.gz	./manifest_9723195_102.csv	0	27.8MiB/s
s3_transfer_9723195_1030.log	NWM222c-2_S11_L002_R1_001.fastq.gz	./manifest_9723195_1030.csv	0	17.7MiB/s
s3_transfer_9723195_1031.log	NWM222c-2_S11_L002_R2_001.fastq.gz	./manifest_9723195_1031.csv	0	67.1MiB/s
s3_transfer_9723195_1032.log	NWM222c-2_S11_L003_R1_001.fastq.gz	./manifest_9723195_1032.csv	0	19.3MiB/s
s3_transfer_9723195_1033.log	NWM222c-2_S11_L003_R2_001.fastq.gz	./manifest_9723195_1033.csv	0	70.0MiB/s
s3_transfer_9723195_1034.log	NWM222c-2_S11_L004_R1_001.fastq.gz	./manifest_9723195_1034.csv	0	65.4MiB/s
s3_transfer_9723195_1035.log	NWM222c-2_S11_L004_R2_001.fastq.gz	./manifest_9723195_1035.csv	0	65.2MiB/s
s3_transfer_9723195_1036.log	HG00133-1_FC1_S5_L004_R1_001.fastq.gz	./manifest_9723195_1036.csv	0	57.8MiB/s
s3_transfer_9723195_1037.log	HG00133-1_FC1_S5_L004_R2_001.fastq.gz	./manifest_9723195_1037.csv	0	58.4MiB/s
s3_transfer_9723195_1038.log	HG00133-1_FC2_S5_L004_R1_001.fastq.gz	./manifest_9723195_1038.csv	0	19.9MiB/s
s3_transfer_9723195_1039.log	HG00133-1_FC2_S5_L004_R2_001.fastq.gz	./manifest_9723195_1039.csv	0	59.8MiB/s
s3_transfer_9723195_103.log	HG00408-1_S4_L002_R2_001.fastq.gz	./manifest_9723195_103.csv	0	74.1MiB/s
s3_transfer_9723195_1040.log	HG00133-2_FC1_S6_L004_R1_001.fastq.gz	./manifest_9723195_1040.csv	0	18.3MiB/s
s3_transfer_9723195_1041.log	HG00133-2_FC1_S6_L004_R2_001.fastq.gz	./manifest_9723195_1041.csv	0	18.5MiB/s
s3_transfer_9723195_1042.log	HG00133-2_FC2_S6_L004_R1_001.fastq.gz	./manifest_9723195_1042.csv	0	60.6MiB/s
s3_transfer_9723195_1043.log	HG00133-2_FC2_S6_L004_R2_001.fastq.gz	./manifest_9723195_1043.csv	0	66.2MiB/s
s3_transfer_9723195_1044.log	HG02293-54d-1_S7_L001_R1_001.fastq.gz	./manifest_9723195_1044.csv	0	23.4MiB/s
s3_transfer_9723195_1045.log	HG02293-54d-1_S7_L001_R2_001.fastq.gz	./manifest_9723195_1045.csv	0	70.7MiB/s
s3_transfer_9723195_1046.log	HG02293-54d-1_S7_L002_R1_001.fastq.gz	./manifest_9723195_1046.csv	0	70.3MiB/s
s3_transfer_9723195_1047.log	HG02293-54d-1_S7_L002_R2_001.fastq.gz	./manifest_9723195_1047.csv	0	70.5MiB/s
s3_transfer_9723195_1048.log	HG02293-54d-1_S7_L003_R1_001.fastq.gz	./manifest_9723195_1048.csv	0	20.8MiB/s
s3_transfer_9723195_1049.log	HG02293-54d-1_S7_L003_R2_001.fastq.gz	./manifest_9723195_1049.csv	0	22.1MiB/s
s3_transfer_9723195_104.log	HG00408-2_S4_L003_R1_001.fastq.gz	./manifest_9723195_104.csv	0	72.1MiB/s
s3_transfer_9723195_1050.log	HG02293-54d-1_S7_L004_R1_001.fastq.gz	./manifest_9723195_1050.csv	0	71.4MiB/s
s3_transfer_9723195_1051.log	HG02293-54d-1_S7_L004_R2_001.fastq.gz	./manifest_9723195_1051.csv	0	71.8MiB/s
s3_transfer_9723195_1052.log	HG02293-54d-2_S8_L001_R1_001.fastq.gz	./manifest_9723195_1052.csv	0	20.6MiB/s
s3_transfer_9723195_1053.log	HG02293-54d-2_S8_L001_R2_001.fastq.gz	./manifest_9723195_1053.csv	0	62.6MiB/s
s3_transfer_9723195_1054.log	HG02293-54d-2_S8_L002_R1_001.fastq.gz	./manifest_9723195_1054.csv	0	72.8MiB/s
s3_transfer_9723195_1055.log	HG02293-54d-2_S8_L002_R2_001.fastq.gz	./manifest_9723195_1055.csv	0	22.0MiB/s
s3_transfer_9723195_1056.log	HG02293-54d-2_S8_L003_R1_001.fastq.gz	./manifest_9723195_1056.csv	0	22.3MiB/s
