entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
NA19026	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19026/analysis/NA19026.final.cram	4.51e-09	32.24423	65	407	0.991527	0.965533	0.636159	0.007225	0.058111	99995565939.0	NA19026	PASS	0.005451	0.007840999999999999
NA19027	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19027/analysis/NA19027.final.cram	5.489999999999999e-09	36.735240999999995	67	429	0.992125	0.980885	0.83886	0.006634999999999999	0.078332	117139000000.0	NA19027	PASS	0.004835	0.005335
NA19028	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19028/analysis/NA19028.final.cram	6.99e-08	33.424312	67	428	0.9923360000000001	0.9726450000000001	0.69384	0.007756	0.07634500000000001	106218000000.0	NA19028	PASS	0.004612	0.004915
NA19030	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19030/analysis/NA19030.final.cram	2.62e-06	33.025388	68	435	0.9919979999999999	0.9712799999999999	0.678367	0.006998000000000001	0.081971	107840000000.0	NA19030	PASS	0.0039369999999999995	0.004659
NA19031	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19031/analysis/NA19031.final.cram	2.1e-06	54.937504000000004	68	431	0.994134	0.990302	0.9832690000000001	0.008518000000000001	0.092044	177474000000.0	NA19031	PASS	0.004751	0.00499
NA19035	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19035/analysis/NA19035.final.cram	7.16e-09	36.896529	67	433	0.9925809999999999	0.982217	0.8411799999999999	0.007449	0.083079	118381000000.0	NA19035	PASS	0.003947	0.004907
NA19036	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19036/analysis/NA19036.final.cram	1.52e-05	50.220133000000004	69	432	0.993712	0.989037	0.978131	0.0066879999999999995	0.076146	162526000000.0	NA19036	PASS	0.004792	0.005071
NA19037	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19037/analysis/NA19037.final.cram	7.929999999999999e-09	39.434389	68	436	0.9931610000000001	0.985168	0.903583	0.006934999999999999	0.09527999999999999	132285000000.0	NA19037	PASS	0.003971	0.005101
NA19038	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19038/analysis/NA19038.final.cram	2.32e-08	34.134003	70	433	0.9924700000000001	0.9758469999999999	0.736169	0.007408	0.083846	111502000000.0	NA19038	PASS	0.005217	0.005261
NA19041	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19041/analysis/NA19041.final.cram	7.13e-09	29.537084999999998	68	436	0.9911840000000001	0.938033	0.463376	0.007566	0.08189600000000001	95057540932.0	NA19041	PASS	0.0042	0.005354
NA19042	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19042/analysis/NA19042.final.cram	9.45e-06	39.404247	69	433	0.992394	0.9839760000000001	0.906379	0.006209	0.073013	126944000000.0	NA19042	PASS	0.004717	0.0055780000000000005
NA19043	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19043/analysis/NA19043.final.cram	4.56e-06	38.473898999999996	65	415	0.993376	0.98449	0.8828219999999999	0.0074329999999999995	0.115755	127511000000.0	NA19043	PASS	0.004629	0.0074129999999999995
NA19054	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19054/analysis/NA19054.final.cram	8.5e-06	33.306831	65	420	0.991453	0.9727790000000001	0.6971470000000001	0.007612000000000001	0.089875	107780000000.0	NA19054	PASS	0.003517	0.004201
NA19055	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19055/analysis/NA19055.final.cram	9.71e-06	41.846117	69	439	0.994009	0.987791	0.940156	0.006222	0.068061	132428000000.0	NA19055	PASS	0.004072	0.004765
NA19056	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19056/analysis/NA19056.final.cram	7.74e-09	34.103201	67	424	0.992698	0.977377	0.730141	0.006364	0.086052	110291000000.0	NA19056	PASS	0.0039020000000000005	0.004423
NA19057	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19057/analysis/NA19057.final.cram	2.0099999999999998e-08	32.155696999999996	65	419	0.991833	0.965176	0.6230319999999999	0.005478	0.100798	106642000000.0	NA19057	PASS	0.004084	0.004698
NA19058	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19058/analysis/NA19058.final.cram	7.120000000000001e-09	32.123635	65	418	0.991826	0.9666440000000001	0.62742	0.007056999999999999	0.120171	107976000000.0	NA19058	PASS	0.0042450000000000005	0.0044340000000000004
NA19059	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19059/analysis/NA19059.final.cram	8.07e-06	34.130351	70	435	0.993122	0.9778100000000001	0.733271	0.007347	0.103127	113760000000.0	NA19059	PASS	0.003913000000000001	0.004461
NA19060	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19060/analysis/NA19060.final.cram	3.45e-05	34.599761	68	433	0.9921469999999999	0.978232	0.759374	0.008901000000000001	0.103591	113789000000.0	NA19060	PASS	0.003746	0.004683
NA19062	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19062/analysis/NA19062.final.cram	3.76e-08	31.850878	68	436	0.992049	0.9633700000000001	0.6058560000000001	0.008251	0.07820099999999999	101177000000.0	NA19062	PASS	0.0043	0.004981
NA19063	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19063/analysis/NA19063.final.cram	1.25e-09	40.735997999999995	70	442	0.9935229999999999	0.985934	0.9208569999999999	0.007488	0.082746	130901000000.0	NA19063	PASS	0.004427	0.005222
NA19064	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19064/analysis/NA19064.final.cram	2.5e-09	35.415469	67	432	0.993242	0.980403	0.7811359999999999	0.006078	0.082881	115897000000.0	NA19064	PASS	0.003781	0.004335
NA19065	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19065/analysis/NA19065.final.cram	2.37e-05	32.718777	69	440	0.992604	0.971065	0.6614979999999999	0.0065840000000000004	0.084119	106390000000.0	NA19065	PASS	0.0035700000000000003	0.004599
NA19066	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19066/analysis/NA19066.final.cram	2e-05	31.409445	66	417	0.992431	0.9615870000000001	0.578818	0.007504	0.10400899999999999	103523000000.0	NA19066	PASS	0.004294	0.004448
NA19067	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19067/analysis/NA19067.final.cram	2.5600000000000003e-09	34.289460999999996	69	438	0.992663	0.976548	0.733571	0.006781999999999999	0.077664	109443000000.0	NA19067	PASS	0.004051	0.00451
NA19068	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19068/analysis/NA19068.final.cram	6.53e-09	34.501354	68	436	0.9925139999999999	0.976425	0.746272	0.007234999999999999	0.064736	107679000000.0	NA19068	PASS	0.0055130000000000005	0.005911
NA19070	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19070/analysis/NA19070.final.cram	8.52e-10	33.958779	69	444	0.993088	0.976474	0.722126	0.00605	0.076519	108001000000.0	NA19070	PASS	0.004014	0.004719
NA19072	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19072/analysis/NA19072.final.cram	3.93e-06	36.140106	69	437	0.9934629999999999	0.9817450000000001	0.813956	0.0068650000000000004	0.079843	115363000000.0	NA19072	PASS	0.0043100000000000005	0.004782
NA19074	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19074/analysis/NA19074.final.cram	1.96e-08	34.637985	66	410	0.992834	0.977865	0.754261	0.006211	0.060971000000000004	109560000000.0	NA19074	PASS	0.005412	0.005507
NA19075	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19075/analysis/NA19075.final.cram	8.48e-09	34.299471999999994	67	434	0.992764	0.9780200000000001	0.7385689999999999	0.007133	0.09227	111373000000.0	NA19075	PASS	0.003846	0.0044659999999999995
NA19076	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19076/analysis/NA19076.final.cram	1.43e-06	40.937138	67	434	0.9938889999999999	0.987146	0.930358	0.006252000000000001	0.092896	132995000000.0	NA19076	PASS	0.003858	0.0047409999999999996
NA19077	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19077/analysis/NA19077.final.cram	3.02e-08	33.768636	68	429	0.9932120000000001	0.975935	0.712935	0.0063939999999999995	0.083302	109847000000.0	NA19077	PASS	0.003805	0.005016
NA19078	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19078/analysis/NA19078.final.cram	2.54e-08	35.98215	66	426	0.992749	0.980216	0.81067	0.00548	0.080376	115286000000.0	NA19078	PASS	0.004452	0.008171
NA19079	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19079/analysis/NA19079.final.cram	4.19e-06	48.645488	66	424	0.99477	0.990416	0.9789209999999999	0.0061200000000000004	0.10571199999999999	159745000000.0	NA19079	PASS	0.004273	0.006064
NA19080	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19080/analysis/NA19080.final.cram	1.62e-09	31.836678000000003	66	427	0.991552	0.962003	0.599947	0.007515000000000001	0.082263	103101000000.0	NA19080	PASS	0.003561	0.004018
NA19081	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19081/analysis/NA19081.final.cram	6.17e-08	31.411305	68	436	0.9921549999999999	0.963258	0.58763	0.006309	0.10307100000000001	104748000000.0	NA19081	PASS	0.003788	0.00462
NA19082	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19082/analysis/NA19082.final.cram	1.0300000000000002e-09	32.049426000000004	67	431	0.992526	0.9658049999999999	0.616837	0.007668	0.084095	102812000000.0	NA19082	PASS	0.003815	0.004301
NA19083	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19083/analysis/NA19083.final.cram	9.64e-06	30.883453000000003	67	429	0.992405	0.9570489999999999	0.547151	0.006848999999999999	0.08228099999999999	99156686248.0	NA19083	PASS	0.0039770000000000005	0.004979
NA19084	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19084/analysis/NA19084.final.cram	1.0199999999999999e-05	38.4978	68	432	0.993541	0.985331	0.881697	0.007573000000000001	0.070826	123679000000.0	NA19084	PASS	0.003832	0.004547
NA19085	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19085/analysis/NA19085.final.cram	1.55e-05	30.548802000000002	67	434	0.991661	0.953385	0.53089	0.007435	0.08552	97792517323.0	NA19085	PASS	0.004268999999999999	0.005335
NA19086	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19086/analysis/NA19086.final.cram	6.54e-06	34.878509	68	433	0.9930620000000001	0.9795459999999999	0.7664350000000001	0.006442	0.081559	111520000000.0	NA19086	PASS	0.003965	0.004601
NA19087	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19087/analysis/NA19087.final.cram	5.39e-05	32.908189	68	439	0.992923	0.9729209999999999	0.672141	0.006511	0.116497	111689000000.0	NA19087	PASS	0.00385	0.004266
NA19088	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19088/analysis/NA19088.final.cram	1.62e-05	36.399875	68	432	0.9931559999999999	0.98096	0.823261	0.006225	0.06392	113743000000.0	NA19088	PASS	0.004738	0.005435
NA19089	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19089/analysis/NA19089.final.cram	3.95e-08	33.958108	67	426	0.993196	0.976168	0.720719	0.00657	0.084008	108904000000.0	NA19089	PASS	0.003924	0.005293
NA19090	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19090/analysis/NA19090.final.cram	8.050000000000001e-09	42.123367	68	426	0.9937440000000001	0.987442	0.943318	0.00639	0.082131	137029000000.0	NA19090	PASS	0.004064	0.004222
