	entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
1290	HG02642	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02642/analysis/HG02642.final.cram	6.45e-08	32.785428	66	432	0.991788	0.969425	0.66518	0.009293	0.1202119999999999	109886000000.0	HG02642	PASS	0.004678	0.004815
1309	HG02661	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02661/analysis/HG02661.final.cram	1.6800000000000002e-05	32.060795	69	437	0.99227	0.96523	0.621548	0.006728	0.104706	106830000000.0	HG02661	PASS	0.004115	0.004472
1315	HG02676	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02676/analysis/HG02676.final.cram	2.8000000000000003e-05	32.487308	69	435	0.992002	0.96736	0.646526	0.007368	0.097221	107670000000.0	HG02676	PASS	0.004388	0.004411
1512	HG03052	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03052/analysis/HG03052.final.cram	0.000325406	32.226306	70	443	0.992341	0.965926	0.6245729999999999	0.007995	0.100423	107477000000.0	HG03052	PASS	0.004417	0.004279
1556	HG03117	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03117/analysis/HG03117.final.cram	0.00026634	38.541373	68	432	0.992706	0.984434	0.8874129999999999	0.007665	0.083351	126134000000.0	HG03117	PASS	0.003988	0.005033
1565	HG03126	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03126/analysis/HG03126.final.cram	1.62e-05	35.544571000000005	73	449	0.992323	0.979863	0.796515	0.006802	0.101623	118084000000.0	HG03126	PASS	0.004159	0.00501
1594	HG03193	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03193/analysis/HG03193.final.cram	8.72e-05	33.759052000000004	72	450	0.992692	0.975928	0.7175050000000001	0.0084409999999999	0.098267	110478000000.0	HG03193	PASS	0.00443	0.004992
1598	HG03198	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03198/analysis/HG03198.final.cram	0.000629444	32.91215	67	434	0.991835	0.970269	0.6696529999999999	0.00728	0.109957	110474000000.0	HG03198	PASS	0.003979	0.004685
1624	HG03258	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03258/analysis/HG03258.final.cram	6.790000000000001e-05	36.801485	72	449	0.992552	0.981862	0.837041	0.007421	0.097452	120234000000.0	HG03258	PASS	0.004308	0.004831
1632	HG03271	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03271/analysis/HG03271.final.cram	0.000107173	32.670896	63	412	0.992405	0.969097	0.653457	0.007155	0.118654	109941000000.0	HG03271	PASS	0.004042	0.0046619999999999
