gs_path	bytes	gigabytes	cost	price_tier
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02661/analysis/HG02661.final.cram	15453756274	14.392432	$1.73	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02676/analysis/HG02676.final.cram	15618788850	14.546130	$1.75	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03052/analysis/HG03052.final.cram	15983894211	14.886161	$1.79	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03117/analysis/HG03117.final.cram	19012278478	17.706564	$2.12	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03126/analysis/HG03126.final.cram	17499491725	16.297671	$1.96	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03193/analysis/HG03193.final.cram	16382793756	15.257665	$1.83	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03198/analysis/HG03198.final.cram	15890257206	14.798955	$1.78	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03258/analysis/HG03258.final.cram	17566663361	16.360230	$1.96	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03271/analysis/HG03271.final.cram	15903222293	14.811029	$1.78	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03366/analysis/HG03366.final.cram	18612380682	17.334130	$2.08	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03432/analysis/HG03432.final.cram	16991388039	15.824463	$1.90	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03433/analysis/HG03433.final.cram	19240183283	17.918817	$2.15	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03460/analysis/HG03460.final.cram	16402590837	15.276103	$1.83	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03557/analysis/HG03557.final.cram	17602037277	16.393174	$1.97	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03567/analysis/HG03567.final.cram	16078733489	14.974487	$1.80	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG03595/analysis/HG03595.final.cram	17582879675	16.375332	$1.97	tier-1
