	title	type	umbrella-bioproject	Description	Accession	Sample	Organism
0	Assembly of NA18570	Umbrella	PRJNA730822	NA18570 assembly generated by the Human Pangenome Reference Consortium.	SAMN37797086	NA18570	Homo sapiens
0	Assembly of NA19087	Umbrella	PRJNA730822	NA19087 assembly generated by the Human Pangenome Reference Consortium.	SAMN37797087	NA19087	Homo sapiens
0	Assembly of NA20805	Umbrella	PRJNA730822	NA20805 assembly generated by the Human Pangenome Reference Consortium.	SAMN33621962	NA20805	Homo sapiens
0	Assembly of HG03792	Umbrella	PRJNA730822	HG03792 assembly generated by the Human Pangenome Reference Consortium	SAMN37797112	HG03792	Homo sapiens
0	Assembly of NA20858	Umbrella	PRJNA730822	NA20858 assembly generated by the Human Pangenome Reference Consortium.	SAMN37797095	NA20858	Homo sapiens
0	Assembly of HG00099	Umbrella	PRJNA730822	HG00099 assembly generated by the Human Pangenome Reference Consortium	SAMN33758778	HG00099	Homo sapiens
0	Assembly of HG00280	Umbrella	PRJNA730822	HG00280 assembly generated by the Human Pangenome Reference Consortium	SAMN33758779	HG00280	Homo sapiens
0	Assembly of NA20752	Umbrella	PRJNA730822	NA20752 assembly generated by the Human Pangenome Reference Consortium.	SAMN33758800	NA20752	Homo sapiens
0	Assembly of NA20905	Umbrella	PRJNA730822	NA20905 assembly generated by the Human Pangenome Reference Consortium.	SAMN33758801	NA20905	Homo sapiens
0	Assembly of HG01530	Umbrella	PRJNA730822	HG01530 assembly generated by the Human Pangenome Reference Consortium	SAMN37797099	HG01530	Homo sapiens
0	Assembly of HG01784	Umbrella	PRJNA730822	HG01784 assembly generated by the Human Pangenome Reference Consortium	SAMN37797100	HG01784	Homo sapiens
0	Assembly of NA20799	Umbrella	PRJNA730822	NA20799 assembly generated by the Human Pangenome Reference Consortium.	SAMN37797094	NA20799	Homo sapiens
0	Assembly of HG03742	Umbrella	PRJNA730822	HG03742 assembly generated by the Human Pangenome Reference Consortium	SAMN37797111	HG03742	Homo sapiens
0	Assembly of NA19043	Umbrella	PRJNA730822	NA19043 assembly generated by the Human Pangenome Reference Consortium.	SAMN33758799	NA19043	Homo sapiens
0	Assembly of NA19120	Umbrella	PRJNA730822	NA19120 assembly generated by the Human Pangenome Reference Consortium.	SAMN37797088	NA19120	Homo sapiens
