title	type	Description	Sample	Organism
Assembly of HG03369	Umbrella	HG03369 assembly generated by the Human Pangenome Reference Consortium.	HG03369	Homo sapiens
Assembly of NA18565	Umbrella	NA18565 assembly generated by the Human Pangenome Reference Consortium.	NA18565	Homo sapiens
Assembly of NA20818	Umbrella	NA20818 assembly generated by the Human Pangenome Reference Consortium.	NA20818	Homo sapiens
Assembly of NA20809	Umbrella	NA20809 assembly generated by the Human Pangenome Reference Consortium.	NA20809	Homo sapiens
Assembly of NA21102	Umbrella	NA21102 assembly generated by the Human Pangenome Reference Consortium.	NA21102	Homo sapiens
Assembly of HG03457	Umbrella	HG03457 assembly generated by the Human Pangenome Reference Consortium.	HG03457	Homo sapiens
Assembly of HG01028	Umbrella	HG01028 assembly generated by the Human Pangenome Reference Consortium.	HG01028	Homo sapiens
Assembly of HG03778	Umbrella	HG03778 assembly generated by the Human Pangenome Reference Consortium.	HG03778	Homo sapiens
Assembly of HG00258	Umbrella	HG00258 assembly generated by the Human Pangenome Reference Consortium.	HG00258	Homo sapiens
Assembly of HG03136	Umbrella	HG03136 assembly generated by the Human Pangenome Reference Consortium.	HG03136	Homo sapiens
Assembly of HG00662	Umbrella	HG00662 assembly generated by the Human Pangenome Reference Consortium.	HG00662	Homo sapiens
Assembly of HG01167	Umbrella	HG01167 assembly generated by the Human Pangenome Reference Consortium.	HG01167	Homo sapiens
Assembly of NA19131	Umbrella	NA19131 assembly generated by the Human Pangenome Reference Consortium.	NA19131	Homo sapiens
Assembly of HG04153	Umbrella	HG04153 assembly generated by the Human Pangenome Reference Consortium.	HG04153	Homo sapiens
Assembly of NA19099	Umbrella	NA19099 assembly generated by the Human Pangenome Reference Consortium.	NA19099	Homo sapiens
Assembly of HG03343	Umbrella	HG03343 assembly generated by the Human Pangenome Reference Consortium.	HG03343	Homo sapiens
Assembly of HG01894	Umbrella	HG01894 assembly generated by the Human Pangenome Reference Consortium.	HG01894	Homo sapiens
Assembly of NA19834	Umbrella	NA19834 assembly generated by the Human Pangenome Reference Consortium.	NA19834	Homo sapiens
Assembly of HG03103	Umbrella	HG03103 assembly generated by the Human Pangenome Reference Consortium.	HG03103	Homo sapiens
Assembly of HG01048	Umbrella	HG01048 assembly generated by the Human Pangenome Reference Consortium.	HG01048	Homo sapiens
Assembly of NA19190	Umbrella	NA19190 assembly generated by the Human Pangenome Reference Consortium.	NA19190	Homo sapiens
Assembly of HG04225	Umbrella	HG04225 assembly generated by the Human Pangenome Reference Consortium.	HG04225	Homo sapiens
Assembly of NA19012	Umbrella	NA19012 assembly generated by the Human Pangenome Reference Consortium.	NA19012	Homo sapiens
Assembly of HG02624	Umbrella	HG02624 assembly generated by the Human Pangenome Reference Consortium.	HG02624	Homo sapiens
Assembly of HG03672	Umbrella	HG03672 assembly generated by the Human Pangenome Reference Consortium.	HG03672	Homo sapiens
Assembly of HG03372	Umbrella	HG03372 assembly generated by the Human Pangenome Reference Consortium.	HG03372	Homo sapiens
Assembly of HG03108	Umbrella	HG03108 assembly generated by the Human Pangenome Reference Consortium.	HG03108	Homo sapiens
Assembly of NA19703	Umbrella	NA19703 assembly generated by the Human Pangenome Reference Consortium.	NA19703	Homo sapiens
Assembly of HG00106	Umbrella	HG00106 assembly generated by the Human Pangenome Reference Consortium.	HG00106	Homo sapiens
Assembly of HG00117	Umbrella	HG00117 assembly generated by the Human Pangenome Reference Consortium.	HG00117	Homo sapiens
Assembly of HG01798	Umbrella	HG01798 assembly generated by the Human Pangenome Reference Consortium.	HG01798	Homo sapiens
Assembly of HG03919	Umbrella	HG03919 assembly generated by the Human Pangenome Reference Consortium.	HG03919	Homo sapiens
Assembly of HG03388	Umbrella	HG03388 assembly generated by the Human Pangenome Reference Consortium.	HG03388	Homo sapiens
Assembly of NA19042	Umbrella	NA19042 assembly generated by the Human Pangenome Reference Consortium.	NA19042	Homo sapiens
Assembly of HG00701	Umbrella	HG00701 assembly generated by the Human Pangenome Reference Consortium.	HG00701	Homo sapiens
Assembly of HG03072	Umbrella	HG03072 assembly generated by the Human Pangenome Reference Consortium.	HG03072	Homo sapiens
Assembly of HG03445	Umbrella	HG03445 assembly generated by the Human Pangenome Reference Consortium.	HG03445	Homo sapiens
Assembly of HG00423	Umbrella	HG00423 assembly generated by the Human Pangenome Reference Consortium	HG00423	Homo sapiens
Assembly of HG02027	Umbrella	HG02027 assembly generated by the Human Pangenome Reference Consortium	HG02027	Homo sapiens
Assembly of HG02083	Umbrella	HG02083 assembly generated by the Human Pangenome Reference Consortium	HG02083	Homo sapiens
Assembly of HG02523	Umbrella	HG02523 assembly generated by the Human Pangenome Reference Consortium	HG02523	Homo sapiens
Assembly of HG02132	Umbrella	HG02132 assembly generated by the Human Pangenome Reference Consortium	HG02132	Homo sapiens
Assembly of HG02135	Umbrella	HG02135 assembly generated by the Human Pangenome Reference Consortium	HG02135	Homo sapiens
Assembly of HG02074	Umbrella	HG02074 assembly generated by the Human Pangenome Reference Consortium	HG02074	Homo sapiens
Assembly of HG02071	Umbrella	HG02071 assembly generated by the Human Pangenome Reference Consortium	HG02071	Homo sapiens
Assembly of HG03942	Umbrella	HG03942 assembly generated by the Human Pangenome Reference Consortium	HG03942	Homo sapiens
Assembly of HG04187	Umbrella	HG04187 assembly generated by the Human Pangenome Reference Consortium	HG04187	Homo sapiens
Assembly of HG03804	Umbrella	HG03804 assembly generated by the Human Pangenome Reference Consortium	HG03804	Homo sapiens
Assembly of HG04160	Umbrella	HG04160 assembly generated by the Human Pangenome Reference Consortium	HG04160	Homo sapiens
Assembly of HG04157	Umbrella	HG04157 assembly generated by the Human Pangenome Reference Consortium	HG04157	Homo sapiens
Assembly of HG03816	Umbrella	HG03816 assembly generated by the Human Pangenome Reference Consortium	HG03816	Homo sapiens
Assembly of HG03710	Umbrella	HG03710 assembly generated by the Human Pangenome Reference Consortium	HG03710	Homo sapiens
Assembly of HG02602	Umbrella	HG02602 assembly generated by the Human Pangenome Reference Consortium	HG02602	Homo sapiens
Assembly of HG03654	Umbrella	HG03654 assembly generated by the Human Pangenome Reference Consortium	HG03654	Homo sapiens
Assembly of HG02698	Umbrella	HG02698 assembly generated by the Human Pangenome Reference Consortium	HG02698	Homo sapiens
Assembly of HG04228	Umbrella	HG04228 assembly generated by the Human Pangenome Reference Consortium	HG04228	Homo sapiens
Assembly of HG03688	Umbrella	HG03688 assembly generated by the Human Pangenome Reference Consortium	HG03688	Homo sapiens
Assembly of HG04204	Umbrella	HG04204 assembly generated by the Human Pangenome Reference Consortium	HG04204	Homo sapiens
Assembly of HG04199	Umbrella	HG04199 assembly generated by the Human Pangenome Reference Consortium	HG04199	Homo sapiens
Assembly of HG04115	Umbrella	HG04115 assembly generated by the Human Pangenome Reference Consortium	HG04115	Homo sapiens
Assembly of HG02668	Umbrella	HG02668 assembly generated by the Human Pangenome Reference Consortium	HG02668	Homo sapiens
Assembly of HG00706	Umbrella	HG00706 assembly generated by the Human Pangenome Reference Consortium	HG00706	Homo sapiens
Assembly of HG00544	Umbrella	HG00544 assembly generated by the Human Pangenome Reference Consortium	HG00544	Homo sapiens
Assembly of HG03669	Umbrella	HG03669 assembly generated by the Human Pangenome Reference Consortium	HG03669	Homo sapiens
Assembly of HG01255	Umbrella	HG01255 assembly generated by the Human Pangenome Reference Consortium	HG01255	Homo sapiens
